FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2022-08-09 20:13:12,2022-11-30,7,0,6
2,"二","two",2022-08-18 15:39:44,2022-12-13,7,0,6
3,"三","three",2022-08-11 19:56:10,2022-12-02,7,0,6
4,"四","four",2022-08-11 19:52:17,2022-11-25,7,0,6
5,"五","five",2022-08-18 15:36:03,2022-12-02,7,0,6
6,"六","six",2022-11-24 22:04:23,2023-07-05,8,0,7
7,"七","seven",2022-08-13 09:41:55,2022-11-25,7,0,6
8,"八","eight",2022-10-05 20:23:39,2023-01-09,7,1,10
9,"九","nine",2022-08-08 19:01:46,2022-12-05,7,0,6
10,"十","ten",2022-11-23 21:34:01,2023-06-08,8,0,7
11,"口","mouth",2022-11-17 21:54:09,2023-07-25,8,0,7
12,"日","day",2022-08-11 19:46:56,2022-12-15,7,0,6
13,"月","month",2022-11-13 22:27:32,2023-06-20,8,0,7
14,"田","rice field",2022-08-25 08:46:20,2022-12-02,7,0,6
15,"目","eye",2022-08-24 08:28:59,2022-11-25,7,0,6
16,"古","old",2022-08-08 19:06:01,2022-11-28,7,0,6
17,"吾","I",2022-09-05 07:30:29,2022-12-26,7,2,10
18,"冒","risk",2022-11-13 22:45:28,2022-11-27,4,0,8
19,"朋","companion",2022-08-01 19:31:16,2022-11-27,7,0,6
20,"明","bright",2022-11-18 20:36:22,2023-07-24,8,0,7
21,"唱","chant",2022-09-28 19:47:55,2023-01-01,7,1,10
22,"晶","sparkle",2022-11-05 22:23:50,2023-06-26,8,0,7
23,"品","goods",2022-08-18 15:44:38,2022-12-15,7,0,6
24,"呂","spine",2022-08-16 09:30:04,2022-12-19,7,0,6
25,"昌","prosperous",2022-08-22 20:05:37,2022-12-06,7,0,6
26,"早","early",2022-08-14 13:01:58,2022-12-03,7,0,6
27,"旭","rising sun",2022-08-22 19:56:39,2022-12-09,7,0,8
28,"世","generation",2022-11-15 21:04:53,2023-07-16,8,0,7
29,"胃","stomach",2022-11-24 21:30:10,2023-02-24,7,1,11
30,"旦","nightbreak",2022-08-12 18:58:48,2022-12-09,7,0,6
31,"胆","gall bladder",2022-08-05 19:51:23,2022-12-03,7,3,6
32,"亘","span",2022-11-19 08:12:09,2023-07-10,8,0,7
33,"凹","concave",2022-08-14 13:02:45,2022-12-06,7,0,6
34,"凸","convex",2022-11-22 19:53:33,2023-07-01,8,0,7
35,"旧","olden times",2022-08-14 13:02:45,2022-12-07,7,0,6
36,"自","oneself",2022-08-01 19:38:55,2022-12-05,7,0,6
37,"白","white",2022-11-21 21:39:30,2023-06-21,8,0,7
38,"百","hundred",2022-08-23 18:49:37,2022-12-25,7,0,6
39,"中","in",2022-08-06 10:13:45,2022-12-07,7,0,6
40,"千","thousand",2022-08-13 09:41:55,2022-12-05,7,0,6
41,"舌","tongue",2022-11-14 22:13:19,2023-07-22,8,1,7
42,"升","measuring box",2022-08-10 20:30:01,2022-12-10,7,1,7
43,"昇","rise up",2022-07-30 10:09:48,2022-12-02,7,1,7
44,"丸","round",2022-08-05 19:42:55,2022-11-27,7,0,6
45,"寸","measurement",2022-11-20 11:07:01,2023-06-06,8,1,8
46,"肘","elbow",2022-08-08 19:01:46,2022-11-30,7,0,6
47,"専","specialty",2022-11-24 21:44:28,2023-07-16,8,0,7
48,"博","Dr.",2022-09-01 08:43:09,2023-01-04,7,0,6
49,"占","fortune-telling",2022-11-06 22:14:06,2023-07-17,8,0,7
50,"上","above",2022-11-11 14:28:39,2023-05-23,8,0,7
51,"下","below",2022-11-13 22:27:32,2023-06-07,8,0,7
52,"卓","eminent",2022-08-11 19:52:17,2022-11-28,7,0,7
53,"朝","morning",2022-11-04 12:24:48,2023-06-15,8,0,7
54,"嘲","derision (skip)",2022-11-16 22:39:02,2022-11-16,1,1,7
55,"只","only",2022-08-19 15:57:00,2022-12-09,7,2,6
56,"貝","shellfish",2022-08-20 23:54:19,2022-12-06,7,0,6
57,"唄","pop song",2022-11-22 19:56:54,2023-06-10,8,0,7
58,"貞","upright",2022-07-31 09:42:11,2022-12-04,7,0,6
59,"員","employee",2022-08-19 15:48:45,2022-12-21,7,0,7
60,"貼","post a bill",2022-08-23 19:11:51,2022-12-04,7,2,8
61,"見","see",2022-11-21 21:24:07,2023-07-04,8,0,7
62,"児","newborn babe",2022-11-19 08:12:09,2022-12-04,4,0,8
63,"元","beginning",2022-11-10 18:58:48,2023-07-06,8,0,7
64,"頁","page",2022-08-15 08:05:22,2022-12-02,7,0,6
65,"頑","stubborn",2022-10-20 09:07:39,2023-02-19,7,2,12
66,"凡","mediocre",2022-08-06 10:47:47,2022-12-09,7,0,6
67,"負","defeat",2022-10-16 22:06:08,2023-01-17,7,1,10
68,"万","ten thousand",2022-11-07 11:39:29,2023-03-09,7,1,10
69,"句","phrase",2022-11-09 08:35:31,2023-07-04,8,0,8
70,"肌","texture",2022-10-30 13:25:03,2023-02-24,7,0,8
71,"旬","decameron",2022-11-10 18:55:55,2023-07-09,8,0,7
72,"勺","ladle",2022-11-06 22:14:06,2023-06-11,8,0,7
73,"的","bull's eye",2022-10-11 23:28:43,2023-01-19,7,2,12
74,"首","neck",2022-11-08 14:35:25,2023-07-12,8,0,7
75,"乙","fish guts",2022-11-18 20:36:22,2023-07-12,8,0,7
76,"乱","riot",2022-08-19 16:02:42,2022-12-22,7,0,6
77,"直","straightaway",2022-11-08 21:23:45,2023-05-25,8,0,7
78,"具","tool",2022-09-12 09:03:53,2022-12-20,7,0,8
79,"真","true",2022-11-13 21:35:37,2023-06-16,8,0,7
80,"工","craft",2022-11-14 21:50:39,2023-05-29,8,0,7
81,"左","left",2022-08-14 12:47:38,2022-12-10,7,0,6
82,"右","right",2022-08-07 10:23:52,2022-12-02,7,0,6
83,"有","possess",2022-08-20 23:37:15,2022-12-09,7,0,6
84,"賄","bribe",2022-09-01 19:33:17,2022-12-21,7,3,9
85,"貢","tribute",2022-08-16 09:08:48,2022-11-25,7,1,10
86,"項","paragraph",2022-10-28 22:58:46,2023-02-03,7,1,8
87,"刀","dagger",2022-08-22 20:08:10,2022-12-18,7,0,6
88,"刃","blade",2022-11-17 21:50:03,2023-07-08,8,1,7
89,"切","cut",2022-10-01 10:39:20,2022-11-28,6,1,10
90,"召","seduce",2022-08-24 08:41:28,2022-12-23,7,1,6
91,"昭","shining",2022-08-15 08:26:44,2022-11-30,7,0,8
92,"則","rule",2022-08-22 19:47:37,2022-12-03,7,0,6
93,"副","vice-",2022-08-13 09:32:22,2022-12-14,7,0,6
94,"別","separate",2022-08-21 12:56:31,2022-12-18,7,1,8
95,"丁","street",2022-08-20 23:37:15,2022-12-13,7,0,6
96,"町","town",2022-08-12 19:15:13,2022-12-11,7,0,8
97,"可","can",2022-11-19 19:58:35,2023-07-04,8,0,8
98,"頂","place on the head",2022-09-28 20:22:47,2023-01-06,7,0,11
99,"子","child",2022-08-16 09:08:48,2022-11-26,7,0,6
100,"孔","cavity",2022-08-19 16:06:37,2022-12-04,7,0,6
101,"了","complete",2022-10-16 22:06:08,2023-02-04,7,1,11
102,"女","woman",2022-11-24 22:04:23,2023-06-07,8,0,7
103,"好","fond",2022-08-15 08:16:03,2022-12-17,7,0,6
104,"如","likeness",2022-09-17 10:41:20,2023-01-20,7,3,10
105,"母","mama",2022-08-27 15:42:15,2022-11-29,7,0,6
106,"貫","pierce",2022-08-18 15:44:38,2022-12-17,7,1,8
107,"兄","elder brother",2022-08-18 16:03:52,2022-12-01,7,0,6
108,"呪","curse",2022-08-21 10:37:09,2022-11-29,7,1,7
109,"克","overcome",2022-09-15 07:43:47,2023-01-19,7,1,9
110,"小","little",2022-11-24 21:53:33,2023-07-21,8,0,7
111,"少","few",2022-08-27 15:47:14,2022-12-10,7,0,6
112,"大","large",2022-08-26 20:30:42,2022-12-28,7,0,6
